lcsc,name,category,note
C15742,STM32F405RGT6,MCU,Main controller ROS board
C6186,AMS1117-3.3,Regulator,LDO 3.3V
C9637,ADM2483BRWZ-REEL,Isolators/Digital Isolators,Isolated RS-485 Transceiver
C1850418,ICM-42688-P,"Sensors, Transducers/Motion Sensors/IMUs (Inertial Measurement Units)",High Precision 6-Axis MEMS MotionTracking Device
C2150635,"TB9051FTG,EL","Integrated Circuits (ICs)/Power Management (PMIC)/Motor Drivers, Controllers","UQFN-28-EP(6x6) Motor Drivers, Controllers RoHS"
C521608,STM32G474RET6,MCU,"Arm Cortex-M4 32-bit MCU+FPU, 170 MHz / 213 DMIPS, 128 KB SRAM, rich analog, math acc, 184 ps 12 chan Hi-res timer"
C7500381,YAGEO CC0402KRX7R6BB105,Passives/Capacitors/Ceramic Capacitors,CAP CER 1uF 10V X7R 0402
C131394,YAGEO CC0402KRX7R9BB104,Passives/Capacitors/Ceramic Capacitors,CAP CER 100nF 50V X7R 0402
C723999,YAGEO CC0402MRX5R7BB475,,CAP CER 4.7uF 16V X5R 0402
C7500381,YAGEO CC0402KRX7R6BB105,Passives/Capacitors/Ceramic Capacitors,CAP CER 1uF 10V X7R 0402
C52178237,PROD Tech PBBHAQ2012H-102T10,Passives/Filters/Ferrite Beads and Chips,300m? 1 ±25% 1k?@100MHz 0805 Ferrite Beads and Chips RoHS
